tf,es_metric,model_type,hidden_size,dropout,num_layers,window_size,hold,ku,kd,val_mr_star,val_martin,val_total_return,val_num_trades,val_bss_raw,val_macro_f1_raw,test_martin,test_total_return,test_sharpe,test_macro_f1_raw,test_brier_raw,test_bss_raw,test_tp_precision_raw,test_tp_recall_raw,test_tp_f1_raw,test_macro_f1_masked,test_brier_masked,test_bss_masked,test_tp_precision_masked,test_tp_recall_masked,test_tp_f1_masked
1h,brier,gru,384,0.3,3,332,332,3,1.5,0.12,2.7042689211770887,14.256368975588263,136,-0.013318717749736475,0.5574056252015479,-0.6818169352136335,8.335159808435666,1.3108539354630941,0.4534946831535898,,-0.000784343742054272,0.4606741573033708,0.07889672867222579,0.13472070098576125,0.4402596530927292,,0.01912191354633519,0.4897959183673469,0.03940886699507389,0.07294832826747721
1h,brier,gru,256,0.3,3,332,332,3,1.5,0.12,2.409868972043056,13.277708222236972,137,-0.022015356857376656,0.5403443051399568,-2.4477246285054037,-2.1279142460454925,-0.23743036920768285,0.4504731515169442,,-0.012385105954506148,0.3951367781155015,0.08338678640153944,0.13771186440677963,0.4285341082475035,,0.019116131170657136,0.35,0.03307086614173228,0.06043165467625899
1h,brier,gru,256,0.1,2,332,332,3,1.5,0.11,2.3188108359235162,13.290278437996728,168,-0.04001726500028835,0.5315026310207778,36.31847729756094,39.608435830888624,3.653310589613208,0.49372183001890113,,-0.026528822419855214,0.4580896686159844,0.1507376523412444,0.22683397683397685,0.5219960259438383,,-0.04100590353155309,0.44360902255639095,0.15649867374005305,0.23137254901960783
1h,brier,gru,384,0.0,3,332,332,3,1.5,0.06,2.2778141527150217,14.394865084376951,215,0.004804286769677257,0.5483528880273792,0.9316721064233627,12.73155653650564,1.5005939581380143,0.4388938748871001,,-0.005008499977746661,0.4782608695652174,0.05644644002565747,0.10097532989099253,0.4247825422957962,,0.023102496894595204,0.45161290322580644,0.019178082191780823,0.03679369250985546
1h,brier,gru,384,0.5,2,332,332,3,1.5,0.08,2.1399091319056454,15.106869502154673,198,-0.026454405992835994,0.5247894063598613,25.85159806457626,31.734819001882443,3.1996989095808326,0.4317194112573226,,-0.006966674169510245,0.48026315789473684,0.04682488774855677,0.0853302162478083,0.4378270194316564,,-0.002243762991556153,0.45454545454545453,0.036231884057971016,0.06711409395973154
1h,brier,gru,512,0.3,2,332,332,3,1.5,0.13,2.1220745593051746,12.229467803460858,118,-0.013749967024263121,0.5524187556353457,0.2551108438084992,10.0333000182935,1.4852348532039406,0.4663551405366827,,-0.007248214018665156,0.41625615763546797,0.10840282232200128,0.17201017811704836,0.4616354103649929,,0.002390376496387514,0.3472222222222222,0.05555555555555555,0.09578544061302681
1h,brier,gru,384,0.5,3,332,332,3,1.5,0.03,1.936984343154996,14.878884877859356,266,-0.02412561427592741,0.560799040387525,6.514514761677563,32.33720012325725,2.1653491451092335,0.458155609356106,,-0.012211075830667717,0.3721461187214612,0.10455420141116101,0.16324486730095145,0.4556875943133985,,0.004476748033305,0.35,0.056451612903225805,0.09722222222222222
1h,brier,gru,256,0.3,2,332,332,3,1.5,0.08,1.20695460723556,13.055675605393912,214,-0.0334484862382749,0.5175075331494641,7.900004170673685,27.29383133277088,2.220064658294059,0.46585382412482096,,-0.020870983672305332,0.4676923076923077,0.09749839640795381,0.1613588110403397,0.4948498866810442,,-0.03779370167482998,0.4931506849315068,0.0989010989010989,0.16475972540045766
1h,brier,gru,128,0.1,1,332,332,3,1.5,0.09,0.5014475294357575,10.3212668576681,143,-0.022269850740784136,0.5131405931001072,11.440421997907805,19.37693767368207,2.3412147493971354,0.458573690103865,,-0.01289697893731323,0.5520361990950227,0.0782552918537524,0.13707865168539327,0.42288384712145366,,0.0007311631226515347,0.46,0.03253182461103253,0.0607661822985469
1h,brier,gru,256,0.3,1,332,332,3,1.5,0.07,0.3187383670282091,10.35148435906117,213,-0.031842364075041596,0.465822605342256,4.50312816272534,21.303521355606158,2.042572502067419,0.43339629816550473,,-0.013246410535907582,0.5,0.04810776138550353,0.08777062609713283,0.467095951785095,,-0.014876059358564842,0.5076923076923077,0.08009708737864078,0.13836477987421386
1h,brier,gru,256,0.5,1,332,332,3,1.5,0.06,-0.19276904253996685,9.045936593889436,243,-0.03549846725113137,0.46628551446475197,3.1779016833492784,22.374233575578838,1.8402319590414833,0.43873207797018976,,-0.016770623552209152,0.49710982658959535,0.055163566388710714,0.09930715935334875,0.47919011909013104,,-0.02374327538030263,0.5135135135135135,0.09718670076726342,0.16344086021505375
1h,brier,gru,128,0.0,2,332,332,3,1.5,0.06,-1.5500227481048259,4.826762796128392,264,-0.03689667264707053,0.4820279014095752,18.470922409598867,43.37250317409378,3.11650427721432,0.434060217119241,,-0.012325003898741693,0.49044585987261147,0.04939063502245029,0.08974358974358973,0.4726056621967402,,-0.027990418067519007,0.5510204081632653,0.07541899441340782,0.13267813267813267
